Elemen,Font,Weight,Mobile,Tablet,Desktop,Line Height,Tracking,Tailwind Pattern
H1,Poppins,600,30px,36px,48px,1.1–1.2 (tight),Tight,text-3xl md:text-4xl lg:text-5xl font-semibold leading-tight tracking-tight
H2,Poppins,600,24px,30px,36px,Tight,Tight,text-2xl md:text-3xl lg:text-4xl font-semibold leading-tight tracking-tight
H3,Poppins,600,20px,24px,24px,Snug,Normal,text-xl md:text-2xl font-semibold leading-snug
H4,Poppins,600,18px,20px,20px,Snug,Normal,text-lg md:text-xl font-semibold leading-snug
Body Primary,Segoe UI,400,15px,16px,18px,1.5,Normal,text-[15px] md:text-base lg:text-lg leading-[1.5]
Body Compact,Segoe UI,400,14px,14px,14px,1.4,Normal,text-sm leading-snug
Button / UI,Segoe UI,500,14px,14px,15px,1.3,Slight Wide,text-sm lg:text-[15px] font-medium tracking-wide
Small / Caption,Segoe UI,400–500,13–14px,14px,14px,1.3–1.4,Slight Wide,text-xs md:text-sm tracking-wide
